[01:51:14] tax check: model=gemma3:27b items=300
[01:51:56] gemma3:27b / baseline: 25/300
[01:52:49] gemma3:27b / baseline: 50/300
[01:53:26] gemma3:27b / baseline: 75/300
[01:54:18] gemma3:27b / baseline: 100/300
[01:55:03] gemma3:27b / baseline: 125/300
[01:55:58] gemma3:27b / baseline: 150/300
[01:56:36] gemma3:27b / baseline: 175/300
[01:57:29] gemma3:27b / baseline: 200/300
[01:58:09] gemma3:27b / baseline: 225/300
[01:59:00] gemma3:27b / baseline: 250/300
[01:59:50] gemma3:27b / baseline: 275/300
[02:00:38] gemma3:27b / baseline: 300/300
[02:02:12] gemma3:27b / generic_ethics: 25/300
[02:04:03] gemma3:27b / generic_ethics: 50/300
[02:05:45] gemma3:27b / generic_ethics: 75/300
[02:07:30] gemma3:27b / generic_ethics: 100/300
[02:09:07] gemma3:27b / generic_ethics: 125/300
[02:10:49] gemma3:27b / generic_ethics: 150/300
[02:12:24] gemma3:27b / generic_ethics: 175/300
[02:14:00] gemma3:27b / generic_ethics: 200/300
[02:15:49] gemma3:27b / generic_ethics: 225/300
[02:17:33] gemma3:27b / generic_ethics: 250/300
[02:19:21] gemma3:27b / generic_ethics: 275/300
[02:21:04] gemma3:27b / generic_ethics: 300/300
[02:23:07] gemma3:27b / virtue_ethics: 25/300
[02:25:17] gemma3:27b / virtue_ethics: 50/300
[02:27:15] gemma3:27b / virtue_ethics: 75/300
[02:29:16] gemma3:27b / virtue_ethics: 100/300
[02:31:09] gemma3:27b / virtue_ethics: 125/300
[02:33:17] gemma3:27b / virtue_ethics: 150/300
[02:35:13] gemma3:27b / virtue_ethics: 175/300
[02:37:13] gemma3:27b / virtue_ethics: 200/300
[02:39:16] gemma3:27b / virtue_ethics: 225/300
[02:41:19] gemma3:27b / virtue_ethics: 250/300
[02:43:27] gemma3:27b / virtue_ethics: 275/300
[02:45:22] gemma3:27b / virtue_ethics: 300/300
[02:47:30] gemma3:27b / vows_static: 25/300
[02:49:57] gemma3:27b / vows_static: 50/300
[02:52:08] gemma3:27b / vows_static: 75/300
[02:54:35] gemma3:27b / vows_static: 100/300
[02:56:52] gemma3:27b / vows_static: 125/300
[02:59:07] gemma3:27b / vows_static: 150/300
[03:01:12] gemma3:27b / vows_static: 175/300
[03:03:28] gemma3:27b / vows_static: 200/300
[03:05:43] gemma3:27b / vows_static: 225/300
[03:08:00] gemma3:27b / vows_static: 250/300
[03:10:26] gemma3:27b / vows_static: 275/300
[03:12:46] gemma3:27b / vows_static: 300/300
[03:21:25] gemma3:27b / vows_loop: 25/300
[03:29:50] gemma3:27b / vows_loop: 50/300
[03:38:01] gemma3:27b / vows_loop: 75/300
[03:46:38] gemma3:27b / vows_loop: 100/300
[03:54:48] gemma3:27b / vows_loop: 125/300
[04:03:04] gemma3:27b / vows_loop: 150/300
[04:11:09] gemma3:27b / vows_loop: 175/300
[04:19:35] gemma3:27b / vows_loop: 200/300
[04:27:46] gemma3:27b / vows_loop: 225/300
[04:35:48] gemma3:27b / vows_loop: 250/300
[04:43:55] gemma3:27b / vows_loop: 275/300
[04:51:57] gemma3:27b / vows_loop: 300/300
[04:51:57] done.
