[01:51:13] tax check: model=qwen3.6:latest items=300
[01:52:37] qwen3.6:latest / baseline: 25/300
[01:54:50] qwen3.6:latest / baseline: 50/300
[01:55:52] qwen3.6:latest / baseline: 75/300
[01:57:36] qwen3.6:latest / baseline: 100/300
[01:58:57] qwen3.6:latest / baseline: 125/300
[02:00:29] qwen3.6:latest / baseline: 150/300
[02:01:53] qwen3.6:latest / baseline: 175/300
[02:03:36] qwen3.6:latest / baseline: 200/300
[02:04:55] qwen3.6:latest / baseline: 225/300
[02:06:34] qwen3.6:latest / baseline: 250/300
[02:08:20] qwen3.6:latest / baseline: 275/300
[02:10:01] qwen3.6:latest / baseline: 300/300
[02:10:53] qwen3.6:latest / generic_ethics: 25/300
[02:11:49] qwen3.6:latest / generic_ethics: 50/300
[02:12:28] qwen3.6:latest / generic_ethics: 75/300
[02:13:23] qwen3.6:latest / generic_ethics: 100/300
[02:13:43] qwen3.6:latest / generic_ethics: 125/300
[02:14:32] qwen3.6:latest / generic_ethics: 150/300
[02:14:56] qwen3.6:latest / generic_ethics: 175/300
[02:15:39] qwen3.6:latest / generic_ethics: 200/300
[02:16:10] qwen3.6:latest / generic_ethics: 225/300
[02:17:01] qwen3.6:latest / generic_ethics: 250/300
[02:17:56] qwen3.6:latest / generic_ethics: 275/300
[02:18:15] qwen3.6:latest / generic_ethics: 300/300
[02:19:50] qwen3.6:latest / virtue_ethics: 25/300
[02:21:42] qwen3.6:latest / virtue_ethics: 50/300
[02:22:57] qwen3.6:latest / virtue_ethics: 75/300
[02:24:48] qwen3.6:latest / virtue_ethics: 100/300
[02:26:08] qwen3.6:latest / virtue_ethics: 125/300
[02:27:53] qwen3.6:latest / virtue_ethics: 150/300
[02:29:08] qwen3.6:latest / virtue_ethics: 175/300
[02:31:02] qwen3.6:latest / virtue_ethics: 200/300
[02:32:19] qwen3.6:latest / virtue_ethics: 225/300
[02:34:23] qwen3.6:latest / virtue_ethics: 250/300
[02:36:00] qwen3.6:latest / virtue_ethics: 275/300
[02:37:41] qwen3.6:latest / virtue_ethics: 300/300
[02:38:58] qwen3.6:latest / vows_static: 25/300
[02:40:25] qwen3.6:latest / vows_static: 50/300
[02:41:36] qwen3.6:latest / vows_static: 75/300
[02:43:06] qwen3.6:latest / vows_static: 100/300
[02:44:08] qwen3.6:latest / vows_static: 125/300
[02:45:33] qwen3.6:latest / vows_static: 150/300
[02:46:28] qwen3.6:latest / vows_static: 175/300
[02:47:48] qwen3.6:latest / vows_static: 200/300
[02:48:46] qwen3.6:latest / vows_static: 225/300
[02:50:30] qwen3.6:latest / vows_static: 250/300
[02:51:48] qwen3.6:latest / vows_static: 275/300
[02:52:35] qwen3.6:latest / vows_static: 300/300
[02:58:51] qwen3.6:latest / vows_loop: 25/300
[03:05:09] qwen3.6:latest / vows_loop: 50/300
[03:11:13] qwen3.6:latest / vows_loop: 75/300
[03:17:33] qwen3.6:latest / vows_loop: 100/300
[03:24:11] qwen3.6:latest / vows_loop: 125/300
[03:30:24] qwen3.6:latest / vows_loop: 150/300
[03:36:36] qwen3.6:latest / vows_loop: 175/300
[03:42:56] qwen3.6:latest / vows_loop: 200/300
[03:48:54] qwen3.6:latest / vows_loop: 225/300
[03:55:19] qwen3.6:latest / vows_loop: 250/300
[04:01:26] qwen3.6:latest / vows_loop: 275/300
[04:07:15] qwen3.6:latest / vows_loop: 300/300
[04:07:15] done.
